# fmn API schema — the AUTHORED layer (fm-vn6, plan §16.2 / §16.1)
#
# API_SCHEMA.tsv is extracted from the pinned Reference and regenerated by
# scripts/gen_api_schema.py; this file is its human-maintained companion and
# is EDITED BY HAND. Keeping them apart is the point: regenerating the
# bootstrap must never silently discard a ruling, and authoring a ruling must
# never require re-deriving 2276 rows of Reference surface.
#
# The effective schema is the two merged. fmn_conformance::schema is the
# reader; every generator consumes the merged form, so a row added here
# changes generated code and fails the drift gate until the code is
# regenerated. That is the mechanism behind "drift between the front doors is
# a build error" (§16.2).
#
# Section-tagged, tab-separated, std-parseable — no TOML/YAML/JSON dependency
# anywhere in the reader (the SUITE.lock doctrine).

[meta]
overlay_version	1
ledger_reviewed_digest	44dff7ad5943d2a58121c5e6d755142996e7e23052a9c2da8cc04add8659a7fc

# ---------------------------------------------------------------------------
# [canonical] — Appendix C ruling C-9: public-surface typos.
#
# "canonical names in the schema; exact-name aliases in fmn-python". The Rust
# front door and the docs use the canonical name and ONLY the canonical name;
# fmn-python binds BOTH, so a source-unedited manim scene calling
# `mob.add_event_listner(...)` keeps working while new code reads correctly.
# The alias is never deprecated away: it is the Reference's public surface and
# the product contract is API compatibility (AGENTS.md "Backwards
# Compatibility" names the manim surface as a standing exception to the
# no-shims rule).
#
# The plan's C-9 row names three examples. The extracted schema shows the real
# extent is 26 symbols and 2 parameters — `listner` is systematic across the
# whole event surface, not a one-off. Every one is listed; the count is the
# point, since a partial rename would be worse than none.
#
# reference_symbol	canonical_name	ruling	note
[canonical]
manimlib.event_handler.event_dispatcher:EventDispatcher.add_listner	add_listener	C-9	-
manimlib.event_handler.event_dispatcher:EventDispatcher.get_listners_count	get_listeners_count	C-9	-
manimlib.event_handler.event_dispatcher:EventDispatcher.remove_listner	remove_listener	C-9	-
manimlib.mobject.geometry:Arrow.tickness_multiplier	thickness_multiplier	C-9	the plan's named example
manimlib.mobject.mobject:Mobject.add_event_listner	add_event_listener	C-9	-
manimlib.mobject.mobject:Mobject.add_key_press_listner	add_key_press_listener	C-9	-
manimlib.mobject.mobject:Mobject.add_key_release_listner	add_key_release_listener	C-9	-
manimlib.mobject.mobject:Mobject.add_mouse_drag_listner	add_mouse_drag_listener	C-9	-
manimlib.mobject.mobject:Mobject.add_mouse_motion_listner	add_mouse_motion_listener	C-9	-
manimlib.mobject.mobject:Mobject.add_mouse_press_listner	add_mouse_press_listener	C-9	-
manimlib.mobject.mobject:Mobject.add_mouse_release_listner	add_mouse_release_listener	C-9	-
manimlib.mobject.mobject:Mobject.add_mouse_scroll_listner	add_mouse_scroll_listener	C-9	-
manimlib.mobject.mobject:Mobject.clear_event_listners	clear_event_listeners	C-9	-
manimlib.mobject.mobject:Mobject.get_event_listners	get_event_listeners	C-9	the plan's named example
manimlib.mobject.mobject:Mobject.get_family_event_listners	get_family_event_listeners	C-9	-
manimlib.mobject.mobject:Mobject.get_has_event_listner	get_has_event_listener	C-9	-
manimlib.mobject.mobject:Mobject.init_event_listners	init_event_listeners	C-9	-
manimlib.mobject.mobject:Mobject.remove_event_listner	remove_event_listener	C-9	-
manimlib.mobject.mobject:Mobject.remove_key_press_listner	remove_key_press_listener	C-9	-
